,movie_title,duration,title_year,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,budget,gross,facenumber_in_poster,num_critic_for_reviews,num_user_for_reviews,num_voted_users,imdb_score
0,Avatar,178,2009,10,1000,936,855,4834,237000000,760505847,1,723,3054,886204,7.9
1,Pirates of the Caribbean: At World's End,152,2007,563,40000,5000,1000,48350,300000000,309404152,1,302,1238,471220,7.1
2,Spectre,148,2015,20,11000,393,161,11700,245000000,200074175,1,602,994,275868,6.8
3,The Dark Knight Rises,152,2012,22000,27000,23000,23000,106759,250000000,448130642,1,813,2701,1144337,8.5
4,John Carter,132,2012,475,640,632,530,1873,263700000,73058679,1,462,738,212204,6.6
5,Spider-Man 3,156,2007,23,24000,11000,4000,46055,258000000,336530303,1,392,1902,383056,6.2
6,Tangled,152,2010,15,799,553,284,1636,260000000,200807262,1,324,387,294810,7.8
7,Avengers: Age of Ultron,141,2015,10,26000,21000,19000,92000,250000000,458991599,4,635,1117,462669,7.5
9,Harry Potter and the Half-Blood Prince,153,2009,282,25000,11000,10000,58753,250000000,301956980,3,375,973,321795,7.5
10,Batman v Superman: Dawn of Justice,183,2016,282,15000,5000,2000,24450,250000000,330249062,1,673,3018,356920,6.9
11,Superman Returns,169,2006,282,18000,10000,903,28903,209000000,200069408,2,434,2367,240396,6.1
12,Quantum of Solace,106,2008,395,451,412,393,2023,200000000,168368427,1,403,1243,330784,6.7
13,Pirates of the Caribbean: Dead Man's Chest,151,2006,563,40000,5000,1000,48486,225000000,423032628,2,313,1832,522040,7.3
